iso3,scc,oc_capital,valuation
GBR,0.43079961650809184,Fisheries,Non-market use value
GBR,-2.4698927370349163e-09,Mangroves,Market value
GBR,-1.0239189770638616e-08,Mangroves,Non-market use value
GBR,-1.0239189770638616e-08,Mangroves,Nonuse value
GBR,0.03031325706538896,Ports,Market value
GBR,1.4175023399041602,Total,Total
GEO,1.7740478602008588e-11,Corals,Market value
GEO,2.4952746321937128e-11,Corals,Non-market use value
GEO,2.4952746321937128e-11,Corals,Nonuse value
GEO,3.6527444551374648e-06,Fisheries,Market value
GEO,0.005241249281025198,Fisheries,Non-market use value
GEO,1.7740478602008588e-11,Mangroves,Market value
GEO,2.4952746321937128e-11,Mangroves,Non-market use value
GEO,2.4952746321937128e-11,Mangroves,Nonuse value
GEO,0.00036491473619857653,Ports,Market value
GEO,0.005609816637366582,Total,Total
GHA,6.060516190670256e-10,Corals,Market value
GHA,8.165914881836372e-10,Corals,Non-market use value
GHA,8.165914881836372e-10,Corals,Nonuse value
GHA,0.00021782855289227942,Fisheries,Market value
GHA,0.11261051989071284,Fisheries,Non-market use value
GHA,9.895682850537819e-05,Mangroves,Market value
GHA,7.3515839537419456e-06,Mangroves,Non-market use value
GHA,0.0017518743725013649,Mangroves,Nonuse value
GHA,0.003546380187168101,Ports,Market value
GHA,0.11823290792600794,Total,Total
GMB,-5.895586391864484e-13,Corals,Market value
GMB,-5.1336157362519295e-12,Corals,Non-market use value
GMB,-5.1336157362519295e-12,Corals,Nonuse value
GMB,1.6463808796542233e-05,Fisheries,Market value
GMB,0.0068011581825151235,Fisheries,Non-market use value
GMB,-5.895586391864484e-13,Mangroves,Market value
GMB,-5.1336157362519295e-12,Mangroves,Non-market use value
GMB,-5.1336157362519295e-12,Mangroves,Nonuse value
GMB,0.00010896887998208077,Ports,Market value
GMB,0.006926590795814365,Total,Total
GNB,-1.4938557100669843e-12,Corals,Market value
GNB,-3.0894085324539743e-12,Corals,Non-market use value
GNB,-3.0894085324539743e-12,Corals,Nonuse value
GNB,0.00011478847526538094,Fisheries,Market value
